,beetle,fungus,unmapped
Mycangia_BH1,33525082,355406,15707944
Mycangia_BH2,31826164,729752,16723084
Mycangia_BH3,24916290,448664,14098982
Mycangia_BH4,19274432,413306,5272444
Mycangia_BH5,31228098,527540,14348586
Mycangia_EF1,35382510,42614,6212944
Mycangia_EF2,33734396,15062,4722600
Mycangia_EF3,31763744,38454,6820710
Mycangia_EF4,27183274,36574,4795424
Mycangia_EP1,30706510,30450,7664292
Mycangia_EP2,31021540,24898,6138220
Mycangia_EP3,30859646,27660,5469302
Mycangia_EP4,30163118,16604,5889624
Mycangia_LP2,39991444,16178,4211296
Mycangia_LP3,39709248,20830,4516152
Mycangia_LP4,32942154,62402,6560996
