,Efor,Esim,Feuw,Foligo,Ralb,Rarx,Rdelt,Rspad,unmapped
Mycangia_BH1,28756146,4765238,112042,106008,44676,12540,82874,106008,15708908
Mycangia_BH2,26931626,4892608,275414,265910,88118,29254,73444,265910,16722626
Mycangia_BH3,20788132,4124200,153452,139444,74086,20396,63282,139444,14100944
Mycangia_BH4,16422188,2853516,140558,106230,110562,27760,28580,106230,5270788
Mycangia_BH5,26639192,4589886,177684,118506,116764,40732,75282,118506,14346178
Mycangia_EF1,31192030,4192704,5398,6360,3676,668,27440,6360,6209792
Mycangia_EF2,27599278,6138866,2554,770,1202,440,10422,770,4718526
Mycangia_EF3,27972858,3790180,5092,5344,2942,426,25634,5344,6820432
Mycangia_EF4,23387402,3797472,9118,462,7552,2576,17398,462,4793292
Mycangia_EP1,26582822,4123772,1734,1366,2594,578,24976,1366,7663410
Mycangia_EP2,24077146,6946214,7520,1972,2060,842,12988,1972,6135916
Mycangia_EP3,24258724,6602764,9956,3598,1804,890,11812,3598,5467060
Mycangia_EP4,24847322,5318280,1460,464,1558,512,13136,464,5886614
Mycangia_LP2,35211322,4783560,224,116,1330,212,14744,116,4207410
Mycangia_LP3,34926170,4785898,162,32,1710,212,19336,32,4512710
Mycangia_LP4,28765632,4177170,28312,11558,2742,858,19500,11558,6559780
