transcript_id	gene_id	gene_name
CEP52_000001-T1_mrna	gene-CEP52_000001	CEP52_000001
CEP52_000002-T1_mrna	gene-CEP52_000002	CEP52_000002
CEP52_000003-T1_mrna	gene-CEP52_000003	CEP52_000003
CEP52_000004-T1_mrna	gene-CEP52_000004	CEP52_000004
CEP52_000005-T1_mrna	gene-CEP52_000005	CEP52_000005
CEP52_000006-T1_mrna	gene-CEP52_000006	CEP52_000006
CEP52_000007-T1_mrna	gene-CEP52_000007	CEP52_000007
CEP52_000008-T1_mrna	gene-CEP52_000008	CEP52_000008
CEP52_000009-T1_mrna	gene-CEP52_000009	CEP52_000009
CEP52_000010-T1_mrna	gene-CEP52_000010	CEP52_000010
CEP52_000011-T1_mrna	gene-CEP52_000011	CEP52_000011
CEP52_000012-T1_mrna	gene-CEP52_000012	CEP52_000012
CEP52_000013-T1_mrna	gene-CEP52_000013	CEP52_000013
CEP52_000014-T1_mrna	gene-CEP52_000014	CEP52_000014
CEP52_000015-T1_mrna	gene-CEP52_000015	CEP52_000015
CEP52_000016-T1_mrna	gene-CEP52_000016	CEP52_000016
CEP52_000017-T1_mrna	gene-CEP52_000017	CEP52_000017
CEP52_000018-T1_mrna	gene-CEP52_000018	CEP52_000018
CEP52_000019-T1_mrna	gene-CEP52_000019	CEP52_000019
CEP52_000020-T1_mrna	gene-CEP52_000020	CEP52_000020
CEP52_000021-T1_mrna	gene-CEP52_000021	CEP52_000021
CEP52_000022-T1_mrna	gene-CEP52_000022	CEP52_000022
CEP52_000023-T1_mrna	gene-CEP52_000023	CEP52_000023
CEP52_000024-T1_mrna	gene-CEP52_000024	CEP52_000024
CEP52_000025-T1_mrna	gene-CEP52_000025	CEP52_000025
CEP52_000026-T1_mrna	gene-CEP52_000026	CEP52_000026
CEP52_000027-T1_mrna	gene-CEP52_000027	CEP52_000027
CEP52_000028-T1_mrna	gene-CEP52_000028	CEP52_000028
CEP52_000029-T1_mrna	gene-CEP52_000029	CEP52_000029
CEP52_000030-T1_mrna	gene-CEP52_000030	CEP52_000030
CEP52_000031-T1_mrna	gene-CEP52_000031	CEP52_000031
CEP52_000032-T1_mrna	gene-CEP52_000032	CEP52_000032
CEP52_000033-T1_mrna	gene-CEP52_000033	CEP52_000033
CEP52_000034-T1_mrna	gene-CEP52_000034	CEP52_000034
CEP52_000035-T1_mrna	gene-CEP52_000035	CEP52_000035
CEP52_000036-T1_mrna	gene-CEP52_000036	CEP52_000036
CEP52_000037-T1_mrna	gene-CEP52_000037	CEP52_000037
CEP52_000038-T1_mrna	gene-CEP52_000038	CEP52_000038
CEP52_000039-T1_mrna	gene-CEP52_000039	CEP52_000039
CEP52_000040-T1_mrna	gene-CEP52_000040	CEP52_000040
CEP52_000041-T1_mrna	gene-CEP52_000041	CEP52_000041
CEP52_000042-T1_mrna	gene-CEP52_000042	CEP52_000042
CEP52_000043-T1_mrna	gene-CEP52_000043	CEP52_000043
CEP52_000044-T1_mrna	gene-CEP52_000044	CEP52_000044
CEP52_000045-T1_mrna	gene-CEP52_000045	CEP52_000045
CEP52_000046-T1_mrna	gene-CEP52_000046	CEP52_000046
CEP52_000047-T1_mrna	gene-CEP52_000047	CEP52_000047
CEP52_000048-T1_mrna	gene-CEP52_000048	CEP52_000048
CEP52_000049-T1_mrna	gene-CEP52_000049	CEP52_000049
CEP52_000050-T1_mrna	gene-CEP52_000050	CEP52_000050
CEP52_000051-T1_mrna	gene-CEP52_000051	CEP52_000051
CEP52_000052-T1_mrna	gene-CEP52_000052	CEP52_000052
CEP52_000053-T1_mrna	gene-CEP52_000053	CEP52_000053
CEP52_000054-T1_mrna	gene-CEP52_000054	CEP52_000054
CEP52_000055-T1_mrna	gene-CEP52_000055	CEP52_000055
CEP52_000056-T1_mrna	gene-CEP52_000056	CEP52_000056
CEP52_000057-T1_mrna	gene-CEP52_000057	CEP52_000057
CEP52_000058-T1_mrna	gene-CEP52_000058	CEP52_000058
CEP52_000059-T1_mrna	gene-CEP52_000059	CEP52_000059
CEP52_000060-T1_mrna	gene-CEP52_000060	CEP52_000060
CEP52_000061-T1_mrna	gene-CEP52_000061	CEP52_000061
CEP52_000062-T1_mrna	gene-CEP52_000062	CEP52_000062
CEP52_000063-T1_mrna	gene-CEP52_000063	CEP52_000063
CEP52_000064-T1_mrna	gene-CEP52_000064	CEP52_000064
CEP52_000065-T1_mrna	gene-CEP52_000065	CEP52_000065
CEP52_000066-T1_mrna	gene-CEP52_000066	CEP52_000066
CEP52_000067-T1_mrna	gene-CEP52_000067	CEP52_000067
CEP52_000068-T1_mrna	gene-CEP52_000068	CEP52_000068
CEP52_000069-T1_mrna	gene-CEP52_000069	CEP52_000069
CEP52_000070-T1_mrna	gene-CEP52_000070	CEP52_000070
CEP52_000071-T1_mrna	gene-CEP52_000071	CEP52_000071
CEP52_000072-T1_mrna	gene-CEP52_000072	CEP52_000072
CEP52_000073-T1_mrna	gene-CEP52_000073	CEP52_000073
CEP52_000074-T1_mrna	gene-CEP52_000074	CEP52_000074
CEP52_000075-T1_mrna	gene-CEP52_000075	CEP52_000075
CEP52_000076-T1_mrna	gene-CEP52_000076	CEP52_000076
CEP52_000077-T1_mrna	gene-CEP52_000077	CEP52_000077
CEP52_000078-T1_mrna	gene-CEP52_000078	CEP52_000078
CEP52_000079-T1_mrna	gene-CEP52_000079	CEP52_000079
CEP52_000080-T1_mrna	gene-CEP52_000080	CEP52_000080
CEP52_000081-T1_mrna	gene-CEP52_000081	CEP52_000081
CEP52_000082-T1_mrna	gene-CEP52_000082	CEP52_000082
CEP52_000083-T1_mrna	gene-CEP52_000083	CEP52_000083
CEP52_000084-T1_mrna	gene-CEP52_000084	CEP52_000084
CEP52_000085-T1_mrna	gene-CEP52_000085	CEP52_000085
CEP52_000086-T1_mrna	gene-CEP52_000086	CEP52_000086
CEP52_000087-T1_mrna	gene-CEP52_000087	CEP52_000087
CEP52_000088-T1_mrna	gene-CEP52_000088	CEP52_000088
CEP52_000089-T1_mrna	gene-CEP52_000089	CEP52_000089
CEP52_000090-T1_mrna	gene-CEP52_000090	CEP52_000090
CEP52_000091-T1_mrna	gene-CEP52_000091	CEP52_000091
CEP52_000092-T1_mrna	gene-CEP52_000092	CEP52_000092
CEP52_000093-T1_mrna	gene-CEP52_000093	CEP52_000093
CEP52_000094-T1_mrna	gene-CEP52_000094	CEP52_000094
CEP52_000095-T1_mrna	gene-CEP52_000095	CEP52_000095
CEP52_000096-T1_mrna	gene-CEP52_000096	CEP52_000096
CEP52_000097-T1_mrna	gene-CEP52_000097	CEP52_000097
CEP52_000098-T1_mrna	gene-CEP52_000098	CEP52_000098
CEP52_000099-T1_mrna	gene-CEP52_000099	CEP52_000099
CEP52_000100-T1_mrna	gene-CEP52_000100	CEP52_000100
CEP52_000101-T1_mrna	gene-CEP52_000101	CEP52_000101
CEP52_000102-T1_mrna	gene-CEP52_000102	CEP52_000102
CEP52_000103-T1_mrna	gene-CEP52_000103	CEP52_000103
CEP52_000104-T1_mrna	gene-CEP52_000104	CEP52_000104
CEP52_000105-T1_mrna	gene-CEP52_000105	CEP52_000105
CEP52_000106-T1_mrna	gene-CEP52_000106	CEP52_000106
CEP52_000107-T1_mrna	gene-CEP52_000107	CEP52_000107
CEP52_000108-T1_mrna	gene-CEP52_000108	CEP52_000108
CEP52_000109-T1_mrna	gene-CEP52_000109	CEP52_000109
CEP52_000110-T1_mrna	gene-CEP52_000110	CEP52_000110
CEP52_000111-T1_mrna	gene-CEP52_000111	CEP52_000111
CEP52_000112-T1_mrna	gene-CEP52_000112	CEP52_000112
CEP52_000113-T1_mrna	gene-CEP52_000113	CEP52_000113
CEP52_000114-T1_mrna	gene-CEP52_000114	CEP52_000114
CEP52_000115-T1_mrna	gene-CEP52_000115	CEP52_000115
CEP52_000116-T1_mrna	gene-CEP52_000116	CEP52_000116
CEP52_000117-T1_mrna	gene-CEP52_000117	CEP52_000117
CEP52_000118-T1_mrna	gene-CEP52_000118	CEP52_000118
CEP52_000119-T1_mrna	gene-CEP52_000119	CEP52_000119
CEP52_000120-T1_mrna	gene-CEP52_000120	CEP52_000120
CEP52_000121-T1_mrna	gene-CEP52_000121	CEP52_000121
CEP52_000122-T1_mrna	gene-CEP52_000122	CEP52_000122
CEP52_000123-T1_mrna	gene-CEP52_000123	CEP52_000123
CEP52_000124-T1_mrna	gene-CEP52_000124	CEP52_000124
CEP52_000125-T1_mrna	gene-CEP52_000125	CEP52_000125
CEP52_000126-T1_mrna	gene-CEP52_000126	CEP52_000126
CEP52_000127-T1_mrna	gene-CEP52_000127	CEP52_000127
CEP52_000128-T1_mrna	gene-CEP52_000128	CEP52_000128
CEP52_000129-T1_mrna	gene-CEP52_000129	CEP52_000129
CEP52_000130-T1_mrna	gene-CEP52_000130	CEP52_000130
CEP52_000131-T1_mrna	gene-CEP52_000131	CEP52_000131
CEP52_000132-T1_mrna	gene-CEP52_000132	CEP52_000132
CEP52_000133-T1_mrna	gene-CEP52_000133	CEP52_000133
CEP52_000134-T1_mrna	gene-CEP52_000134	CEP52_000134
CEP52_000135-T1_mrna	gene-CEP52_000135	CEP52_000135
CEP52_000136-T1_mrna	gene-CEP52_000136	CEP52_000136
CEP52_000137-T1_mrna	gene-CEP52_000137	CEP52_000137
CEP52_000138-T1_mrna	gene-CEP52_000138	CEP52_000138
CEP52_000139-T1_mrna	gene-CEP52_000139	CEP52_000139
CEP52_000140-T1_mrna	gene-CEP52_000140	CEP52_000140
CEP52_000141-T1_mrna	gene-CEP52_000141	CEP52_000141
CEP52_000142-T1_mrna	gene-CEP52_000142	CEP52_000142
CEP52_000143-T1_mrna	gene-CEP52_000143	CEP52_000143
CEP52_000145-T1_mrna	gene-CEP52_000145	CEP52_000145
CEP52_000146-T1_mrna	gene-CEP52_000146	CEP52_000146
CEP52_000147-T1_mrna	gene-CEP52_000147	CEP52_000147
CEP52_000148-T1_mrna	gene-CEP52_000148	CEP52_000148
CEP52_000149-T1_mrna	gene-CEP52_000149	CEP52_000149
CEP52_000150-T1_mrna	gene-CEP52_000150	CEP52_000150
CEP52_000151-T1_mrna	gene-CEP52_000151	CEP52_000151
CEP52_000152-T1_mrna	gene-CEP52_000152	CEP52_000152
CEP52_000153-T1_mrna	gene-CEP52_000153	CEP52_000153
CEP52_000154-T1_mrna	gene-CEP52_000154	CEP52_000154
CEP52_000155-T1_mrna	gene-CEP52_000155	CEP52_000155
CEP52_000156-T1_mrna	gene-CEP52_000156	CEP52_000156
CEP52_000157-T1_mrna	gene-CEP52_000157	CEP52_000157
CEP52_000158-T1_mrna	gene-CEP52_000158	CEP52_000158
CEP52_000159-T1_mrna	gene-CEP52_000159	CEP52_000159
CEP52_000160-T1_mrna	gene-CEP52_000160	CEP52_000160
CEP52_000161-T1_mrna	gene-CEP52_000161	CEP52_000161
CEP52_000162-T1_mrna	gene-CEP52_000162	CEP52_000162
CEP52_000163-T1_mrna	gene-CEP52_000163	CEP52_000163
CEP52_000164-T1_mrna	gene-CEP52_000164	CEP52_000164
CEP52_000165-T1_mrna	gene-CEP52_000165	CEP52_000165
CEP52_000166-T1_mrna	gene-CEP52_000166	CEP52_000166
CEP52_000167-T1_mrna	gene-CEP52_000167	CEP52_000167
CEP52_000168-T1_mrna	gene-CEP52_000168	CEP52_000168
CEP52_000169-T1_mrna	gene-CEP52_000169	CEP52_000169
CEP52_000170-T1_mrna	gene-CEP52_000170	CEP52_000170
CEP52_000173-T1_mrna	gene-CEP52_000173	CEP52_000173
CEP52_000174-T1_mrna	gene-CEP52_000174	CEP52_000174
CEP52_000175-T1_mrna	gene-CEP52_000175	CEP52_000175
CEP52_000176-T1_mrna	gene-CEP52_000176	CEP52_000176
CEP52_000177-T1_mrna	gene-CEP52_000177	CEP52_000177
CEP52_000178-T1_mrna	gene-CEP52_000178	CEP52_000178
CEP52_000179-T1_mrna	gene-CEP52_000179	CEP52_000179
CEP52_000180-T1_mrna	gene-CEP52_000180	CEP52_000180
CEP52_000181-T1_mrna	gene-CEP52_000181	CEP52_000181
CEP52_000182-T1_mrna	gene-CEP52_000182	CEP52_000182
CEP52_000183-T1_mrna	gene-CEP52_000183	CEP52_000183
CEP52_000184-T1_mrna	gene-CEP52_000184	CEP52_000184
CEP52_000185-T1_mrna	gene-CEP52_000185	CEP52_000185
CEP52_000186-T1_mrna	gene-CEP52_000186	CEP52_000186
CEP52_000187-T1_mrna	gene-CEP52_000187	CEP52_000187
CEP52_000188-T1_mrna	gene-CEP52_000188	CEP52_000188
CEP52_000189-T1_mrna	gene-CEP52_000189	CEP52_000189
CEP52_000190-T1_mrna	gene-CEP52_000190	CEP52_000190
CEP52_000191-T1_mrna	gene-CEP52_000191	CEP52_000191
CEP52_000192-T1_mrna	gene-CEP52_000192	CEP52_000192
CEP52_000193-T1_mrna	gene-CEP52_000193	CEP52_000193
CEP52_000194-T1_mrna	gene-CEP52_000194	CEP52_000194
CEP52_000195-T1_mrna	gene-CEP52_000195	CEP52_000195
CEP52_000196-T1_mrna	gene-CEP52_000196	CEP52_000196
CEP52_000197-T1_mrna	gene-CEP52_000197	CEP52_000197
CEP52_000198-T1_mrna	gene-CEP52_000198	CEP52_000198
CEP52_000199-T1_mrna	gene-CEP52_000199	CEP52_000199
CEP52_000200-T1_mrna	gene-CEP52_000200	CEP52_000200
CEP52_000201-T1_mrna	gene-CEP52_000201	CEP52_000201
CEP52_000202-T1_mrna	gene-CEP52_000202	CEP52_000202
CEP52_000203-T1_mrna	gene-CEP52_000203	CEP52_000203
CEP52_000204-T1_mrna	gene-CEP52_000204	CEP52_000204
CEP52_000205-T1_mrna	gene-CEP52_000205	CEP52_000205
CEP52_000206-T1_mrna	gene-CEP52_000206	CEP52_000206
CEP52_000207-T1_mrna	gene-CEP52_000207	CEP52_000207
CEP52_000208-T1_mrna	gene-CEP52_000208	CEP52_000208
CEP52_000209-T1_mrna	gene-CEP52_000209	CEP52_000209
CEP52_000210-T1_mrna	gene-CEP52_000210	CEP52_000210
CEP52_000211-T1_mrna	gene-CEP52_000211	CEP52_000211
CEP52_000212-T1_mrna	gene-CEP52_000212	CEP52_000212
CEP52_000213-T1_mrna	gene-CEP52_000213	CEP52_000213
CEP52_000214-T1_mrna	gene-CEP52_000214	CEP52_000214
CEP52_000215-T1_mrna	gene-CEP52_000215	CEP52_000215
CEP52_000216-T1_mrna	gene-CEP52_000216	CEP52_000216
CEP52_000217-T1_mrna	gene-CEP52_000217	CEP52_000217
CEP52_000218-T1_mrna	gene-CEP52_000218	CEP52_000218
CEP52_000219-T1_mrna	gene-CEP52_000219	CEP52_000219
CEP52_000220-T1_mrna	gene-CEP52_000220	CEP52_000220
CEP52_000221-T1_mrna	gene-CEP52_000221	CEP52_000221
CEP52_000222-T1_mrna	gene-CEP52_000222	CEP52_000222
CEP52_000223-T1_mrna	gene-CEP52_000223	CEP52_000223
CEP52_000224-T1_mrna	gene-CEP52_000224	CEP52_000224
CEP52_000225-T1_mrna	gene-CEP52_000225	CEP52_000225
CEP52_000226-T1_mrna	gene-CEP52_000226	CEP52_000226
CEP52_000227-T1_mrna	gene-CEP52_000227	CEP52_000227
CEP52_000228-T1_mrna	gene-CEP52_000228	CEP52_000228
CEP52_000229-T1_mrna	gene-CEP52_000229	CEP52_000229
CEP52_000230-T1_mrna	gene-CEP52_000230	CEP52_000230
CEP52_000231-T1_mrna	gene-CEP52_000231	CEP52_000231
CEP52_000232-T1_mrna	gene-CEP52_000232	CEP52_000232
CEP52_000233-T1_mrna	gene-CEP52_000233	CEP52_000233
CEP52_000234-T1_mrna	gene-CEP52_000234	CEP52_000234
CEP52_000235-T1_mrna	gene-CEP52_000235	CEP52_000235
CEP52_000236-T1_mrna	gene-CEP52_000236	CEP52_000236
CEP52_000237-T1_mrna	gene-CEP52_000237	CEP52_000237
CEP52_000238-T1_mrna	gene-CEP52_000238	CEP52_000238
CEP52_000239-T1_mrna	gene-CEP52_000239	CEP52_000239
CEP52_000240-T1_mrna	gene-CEP52_000240	CEP52_000240
CEP52_000241-T1_mrna	gene-CEP52_000241	CEP52_000241
CEP52_000242-T1_mrna	gene-CEP52_000242	CEP52_000242
CEP52_000243-T1_mrna	gene-CEP52_000243	CEP52_000243
CEP52_000244-T1_mrna	gene-CEP52_000244	CEP52_000244
CEP52_000245-T1_mrna	gene-CEP52_000245	CEP52_000245
CEP52_000246-T1_mrna	gene-CEP52_000246	CEP52_000246
CEP52_000247-T1_mrna	gene-CEP52_000247	CEP52_000247
CEP52_000248-T1_mrna	gene-CEP52_000248	CEP52_000248
CEP52_000249-T1_mrna	gene-CEP52_000249	CEP52_000249
CEP52_000250-T1_mrna	gene-CEP52_000250	CEP52_000250
CEP52_000251-T1_mrna	gene-CEP52_000251	CEP52_000251
CEP52_000252-T1_mrna	gene-CEP52_000252	CEP52_000252
CEP52_000253-T1_mrna	gene-CEP52_000253	CEP52_000253
CEP52_000254-T1_mrna	gene-CEP52_000254	CEP52_000254
CEP52_000255-T1_mrna	gene-CEP52_000255	CEP52_000255
CEP52_000256-T1_mrna	gene-CEP52_000256	CEP52_000256
CEP52_000257-T1_mrna	gene-CEP52_000257	CEP52_000257
CEP52_000258-T1_mrna	gene-CEP52_000258	CEP52_000258
CEP52_000259-T1_mrna	gene-CEP52_000259	CEP52_000259
CEP52_000260-T1_mrna	gene-CEP52_000260	CEP52_000260
CEP52_000261-T1_mrna	gene-CEP52_000261	CEP52_000261
CEP52_000262-T1_mrna	gene-CEP52_000262	CEP52_000262
CEP52_000263-T1_mrna	gene-CEP52_000263	CEP52_000263
CEP52_000264-T1_mrna	gene-CEP52_000264	CEP52_000264
CEP52_000265-T1_mrna	gene-CEP52_000265	CEP52_000265
CEP52_000266-T1_mrna	gene-CEP52_000266	CEP52_000266
CEP52_000267-T1_mrna	gene-CEP52_000267	CEP52_000267
CEP52_000268-T1_mrna	gene-CEP52_000268	CEP52_000268
CEP52_000269-T1_mrna	gene-CEP52_000269	CEP52_000269
CEP52_000270-T1_mrna	gene-CEP52_000270	CEP52_000270
CEP52_000271-T1_mrna	gene-CEP52_000271	CEP52_000271
CEP52_000272-T1_mrna	gene-CEP52_000272	CEP52_000272
CEP52_000273-T1_mrna	gene-CEP52_000273	CEP52_000273
CEP52_000274-T1_mrna	gene-CEP52_000274	CEP52_000274
CEP52_000275-T1_mrna	gene-CEP52_000275	CEP52_000275
CEP52_000276-T1_mrna	gene-CEP52_000276	CEP52_000276
CEP52_000277-T1_mrna	gene-CEP52_000277	CEP52_000277
CEP52_000278-T1_mrna	gene-CEP52_000278	CEP52_000278
CEP52_000279-T1_mrna	gene-CEP52_000279	CEP52_000279
CEP52_000280-T1_mrna	gene-CEP52_000280	CEP52_000280
CEP52_000281-T1_mrna	gene-CEP52_000281	CEP52_000281
CEP52_000282-T1_mrna	gene-CEP52_000282	CEP52_000282
CEP52_000283-T1_mrna	gene-CEP52_000283	CEP52_000283
CEP52_000284-T1_mrna	gene-CEP52_000284	CEP52_000284
CEP52_000285-T1_mrna	gene-CEP52_000285	CEP52_000285
CEP52_000286-T1_mrna	gene-CEP52_000286	CEP52_000286
CEP52_000287-T1_mrna	gene-CEP52_000287	CEP52_000287
CEP52_000288-T1_mrna	gene-CEP52_000288	CEP52_000288
CEP52_000289-T1_mrna	gene-CEP52_000289	CEP52_000289
CEP52_000290-T1_mrna	gene-CEP52_000290	CEP52_000290
CEP52_000291-T1_mrna	gene-CEP52_000291	CEP52_000291
CEP52_000292-T1_mrna	gene-CEP52_000292	CEP52_000292
CEP52_000293-T1_mrna	gene-CEP52_000293	CEP52_000293
CEP52_000294-T1_mrna	gene-CEP52_000294	CEP52_000294
CEP52_000296-T1_mrna	gene-CEP52_000296	CEP52_000296
CEP52_000297-T1_mrna	gene-CEP52_000297	CEP52_000297
CEP52_000298-T1_mrna	gene-CEP52_000298	CEP52_000298
