transcript_id	gene_id	gene_name
CEP52_000299-T1_mrna	gene-CEP52_000299	CEP52_000299
CEP52_000300-T1_mrna	gene-CEP52_000300	CEP52_000300
CEP52_000301-T1_mrna	gene-CEP52_000301	CEP52_000301
CEP52_000302-T1_mrna	gene-CEP52_000302	CEP52_000302
CEP52_000303-T1_mrna	gene-CEP52_000303	CEP52_000303
CEP52_000304-T1_mrna	gene-CEP52_000304	CEP52_000304
CEP52_000305-T1_mrna	gene-CEP52_000305	CEP52_000305
CEP52_000306-T1_mrna	gene-CEP52_000306	CEP52_000306
CEP52_000307-T1_mrna	gene-CEP52_000307	CEP52_000307
CEP52_000308-T1_mrna	gene-CEP52_000308	CEP52_000308
CEP52_000309-T1_mrna	gene-CEP52_000309	CEP52_000309
CEP52_000310-T1_mrna	gene-CEP52_000310	CEP52_000310
CEP52_000311-T1_mrna	gene-CEP52_000311	CEP52_000311
CEP52_000312-T1_mrna	gene-CEP52_000312	CEP52_000312
CEP52_000313-T1_mrna	gene-CEP52_000313	CEP52_000313
CEP52_000314-T1_mrna	gene-CEP52_000314	CEP52_000314
CEP52_000315-T1_mrna	gene-CEP52_000315	CEP52_000315
CEP52_000316-T1_mrna	gene-CEP52_000316	CEP52_000316
CEP52_000317-T1_mrna	gene-CEP52_000317	CEP52_000317
CEP52_000318-T1_mrna	gene-CEP52_000318	CEP52_000318
CEP52_000319-T1_mrna	gene-CEP52_000319	CEP52_000319
CEP52_000320-T1_mrna	gene-CEP52_000320	CEP52_000320
CEP52_000321-T1_mrna	gene-CEP52_000321	CEP52_000321
CEP52_000322-T1_mrna	gene-CEP52_000322	CEP52_000322
CEP52_000323-T1_mrna	gene-CEP52_000323	CEP52_000323
CEP52_000324-T1_mrna	gene-CEP52_000324	CEP52_000324
CEP52_000325-T1_mrna	gene-CEP52_000325	CEP52_000325
CEP52_000326-T1_mrna	gene-CEP52_000326	CEP52_000326
CEP52_000327-T1_mrna	gene-CEP52_000327	CEP52_000327
CEP52_000328-T1_mrna	gene-CEP52_000328	CEP52_000328
CEP52_000329-T1_mrna	gene-CEP52_000329	CEP52_000329
CEP52_000330-T1_mrna	gene-CEP52_000330	CEP52_000330
CEP52_000331-T1_mrna	gene-CEP52_000331	CEP52_000331
CEP52_000332-T1_mrna	gene-CEP52_000332	CEP52_000332
CEP52_000333-T1_mrna	gene-CEP52_000333	CEP52_000333
CEP52_000334-T1_mrna	gene-CEP52_000334	CEP52_000334
CEP52_000335-T1_mrna	gene-CEP52_000335	CEP52_000335
CEP52_000336-T1_mrna	gene-CEP52_000336	CEP52_000336
CEP52_000337-T1_mrna	gene-CEP52_000337	CEP52_000337
CEP52_000338-T1_mrna	gene-CEP52_000338	CEP52_000338
CEP52_000339-T1_mrna	gene-CEP52_000339	CEP52_000339
CEP52_000340-T1_mrna	gene-CEP52_000340	CEP52_000340
CEP52_000341-T1_mrna	gene-CEP52_000341	CEP52_000341
CEP52_000342-T1_mrna	gene-CEP52_000342	CEP52_000342
CEP52_000343-T1_mrna	gene-CEP52_000343	CEP52_000343
CEP52_000344-T1_mrna	gene-CEP52_000344	CEP52_000344
CEP52_000345-T1_mrna	gene-CEP52_000345	CEP52_000345
CEP52_000346-T1_mrna	gene-CEP52_000346	CEP52_000346
CEP52_000347-T1_mrna	gene-CEP52_000347	CEP52_000347
CEP52_000348-T1_mrna	gene-CEP52_000348	CEP52_000348
CEP52_000349-T1_mrna	gene-CEP52_000349	CEP52_000349
CEP52_000350-T1_mrna	gene-CEP52_000350	CEP52_000350
CEP52_000351-T1_mrna	gene-CEP52_000351	CEP52_000351
CEP52_000352-T1_mrna	gene-CEP52_000352	CEP52_000352
CEP52_000353-T1_mrna	gene-CEP52_000353	CEP52_000353
CEP52_000354-T1_mrna	gene-CEP52_000354	CEP52_000354
CEP52_000355-T1_mrna	gene-CEP52_000355	CEP52_000355
CEP52_000356-T1_mrna	gene-CEP52_000356	CEP52_000356
CEP52_000357-T1_mrna	gene-CEP52_000357	CEP52_000357
CEP52_000358-T1_mrna	gene-CEP52_000358	CEP52_000358
CEP52_000359-T1_mrna	gene-CEP52_000359	CEP52_000359
CEP52_000360-T1_mrna	gene-CEP52_000360	CEP52_000360
CEP52_000361-T1_mrna	gene-CEP52_000361	CEP52_000361
CEP52_000362-T1_mrna	gene-CEP52_000362	CEP52_000362
CEP52_000363-T1_mrna	gene-CEP52_000363	CEP52_000363
CEP52_000364-T1_mrna	gene-CEP52_000364	CEP52_000364
CEP52_000365-T1_mrna	gene-CEP52_000365	CEP52_000365
CEP52_000366-T1_mrna	gene-CEP52_000366	CEP52_000366
CEP52_000367-T1_mrna	gene-CEP52_000367	CEP52_000367
CEP52_000368-T1_mrna	gene-CEP52_000368	CEP52_000368
CEP52_000369-T1_mrna	gene-CEP52_000369	CEP52_000369
CEP52_000370-T1_mrna	gene-CEP52_000370	CEP52_000370
CEP52_000371-T1_mrna	gene-CEP52_000371	CEP52_000371
CEP52_000372-T1_mrna	gene-CEP52_000372	CEP52_000372
CEP52_000373-T1_mrna	gene-CEP52_000373	CEP52_000373
CEP52_000374-T1_mrna	gene-CEP52_000374	CEP52_000374
CEP52_000375-T1_mrna	gene-CEP52_000375	CEP52_000375
CEP52_000376-T1_mrna	gene-CEP52_000376	CEP52_000376
CEP52_000377-T1_mrna	gene-CEP52_000377	CEP52_000377
CEP52_000379-T1_mrna	gene-CEP52_000379	CEP52_000379
CEP52_000380-T1_mrna	gene-CEP52_000380	CEP52_000380
CEP52_000381-T1_mrna	gene-CEP52_000381	CEP52_000381
CEP52_000382-T1_mrna	gene-CEP52_000382	CEP52_000382
CEP52_000383-T1_mrna	gene-CEP52_000383	CEP52_000383
CEP52_000384-T1_mrna	gene-CEP52_000384	CEP52_000384
CEP52_000385-T1_mrna	gene-CEP52_000385	CEP52_000385
CEP52_000386-T1_mrna	gene-CEP52_000386	CEP52_000386
CEP52_000387-T1_mrna	gene-CEP52_000387	CEP52_000387
CEP52_000388-T1_mrna	gene-CEP52_000388	CEP52_000388
CEP52_000389-T1_mrna	gene-CEP52_000389	CEP52_000389
CEP52_000390-T1_mrna	gene-CEP52_000390	CEP52_000390
CEP52_000391-T1_mrna	gene-CEP52_000391	CEP52_000391
CEP52_000392-T1_mrna	gene-CEP52_000392	CEP52_000392
CEP52_000393-T1_mrna	gene-CEP52_000393	CEP52_000393
CEP52_000394-T1_mrna	gene-CEP52_000394	CEP52_000394
CEP52_000395-T1_mrna	gene-CEP52_000395	CEP52_000395
CEP52_000396-T1_mrna	gene-CEP52_000396	CEP52_000396
CEP52_000397-T1_mrna	gene-CEP52_000397	CEP52_000397
CEP52_000398-T1_mrna	gene-CEP52_000398	CEP52_000398
CEP52_000399-T1_mrna	gene-CEP52_000399	CEP52_000399
CEP52_000400-T1_mrna	gene-CEP52_000400	CEP52_000400
CEP52_000401-T1_mrna	gene-CEP52_000401	CEP52_000401
CEP52_000402-T1_mrna	gene-CEP52_000402	CEP52_000402
CEP52_001860-T1_mrna	gene-CEP52_001860	CEP52_001860
CEP52_001861-T1_mrna	gene-CEP52_001861	CEP52_001861
CEP52_001862-T1_mrna	gene-CEP52_001862	CEP52_001862
CEP52_001863-T1_mrna	gene-CEP52_001863	CEP52_001863
CEP52_001864-T1_mrna	gene-CEP52_001864	CEP52_001864
CEP52_001865-T1_mrna	gene-CEP52_001865	CEP52_001865
CEP52_001866-T1_mrna	gene-CEP52_001866	CEP52_001866
CEP52_001867-T1_mrna	gene-CEP52_001867	CEP52_001867
CEP52_001868-T1_mrna	gene-CEP52_001868	CEP52_001868
CEP52_001869-T1_mrna	gene-CEP52_001869	CEP52_001869
CEP52_001870-T1_mrna	gene-CEP52_001870	CEP52_001870
CEP52_001871-T1_mrna	gene-CEP52_001871	CEP52_001871
CEP52_001872-T1_mrna	gene-CEP52_001872	CEP52_001872
