TRANSCRIPT	Mycangia_BH1	Mycangia_BH2	Mycangia_BH3	Mycangia_BH4	Mycangia_BH5	Mycangia_EF1	Mycangia_EF2	Mycangia_EF3	Mycangia_EF4	Mycangia_EP1	Mycangia_EP2	Mycangia_EP3	Mycangia_EP4	Mycangia_LP2	Mycangia_LP3	Mycangia_LP4
BHE90_000001	0	0	59.729682629076414	0	17.501031938866987	0	0	0	0	0	0	0	0	0	0	0
BHE90_000002	0	0	0	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_000004	0	21.22000122587623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000005	58.53793441621029	84.88000490350493	89.59452394361462	219.6894244561303	70.00412775546795	848.8000490350489	0	0	0	0	0	0	0	0	0	0
BHE90_000011	0	0	0	0	0	0	0	1127.3977596238171	0	0	0	0	0	0	0	0
BHE90_000012	29.268967208105146	106.10000612938116	59.729682629076414	39.943531719296416	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000018	117.07586883242058	307.6900177752054	0	159.77412687718567	105.00619163320194	424.40002451752446	0	563.6988798119086	0	0	0	0	0	0	0	0
BHE90_000022	292.68967208105147	254.6400147105148	657.0265089198405	199.7176585964821	245.01444714413785	0	563.6988798119086	0	0	644.22729121361	0	0	0	0	0	536.0842414958205
BHE90_000026	58.53793441621029	21.22000122587623	59.729682629076414	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000027	117.07586883242058	31.83000183881435	0	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_000028	0	21.22000122587623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000029	234.15173766484116	63.6600036776287	179.18904788722924	39.943531719296416	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000030	175.6138032486309	42.44000245175246	119.45936525815283	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000040	0	0	0	39.943531719296416	0	0	845.548319717863	0	0	0	0	0	0	0	0	0
BHE90_000042	175.6138032486309	0	0	0	0	848.8000490350489	0	0	0	644.22729121361	0	0	0	0	0	0
BHE90_000043	58.53793441621029	0	59.729682629076414	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000044	0	0	0	39.943531719296416	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000045	58.53793441621029	0	59.729682629076414	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000048	0	21.22000122587623	0	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_000053	0	0	119.45936525815283	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000055	0	63.6600036776287	0	79.88706343859283	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_000057	58.53793441621029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000060	0	0	119.45936525815283	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000066	0	63.6600036776287	89.59452394361462	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000068	175.6138032486309	148.5400085811336	179.18904788722924	119.83059515788925	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000069	58.53793441621029	21.22000122587623	0	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_000070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268.04212074791025
BHE90_000075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357.389494330547
BHE90_000083	234.15173766484116	63.6600036776287	0	99.85882929824105	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000087	731.7241802026286	339.5200196140197	59.729682629076414	79.88706343859283	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_000089	58.53793441621029	42.44000245175246	0	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_000090	58.53793441621029	42.44000245175246	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000091	321.9586392891566	63.6600036776287	0	0	105.00619163320194	0	0	0	0	0	0	0	0	0	0	0
BHE90_000092	117.07586883242058	0	0	0	122.50722357206892	0	0	0	0	0	0	0	0	0	0	0
