TRANSCRIPT	Mycangia_BH1	Mycangia_BH2	Mycangia_BH3	Mycangia_BH4	Mycangia_BH5	Mycangia_EF1	Mycangia_EF2	Mycangia_EF3	Mycangia_EF4	Mycangia_EP1	Mycangia_EP2	Mycangia_EP3	Mycangia_EP4	Mycangia_LP2	Mycangia_LP3	Mycangia_LP4
BHE90_000093	2780.551884769989	1220.1500704878836	1463.3772244123722	758.927102666632	472.52786234940874	0	0	0	0	0	0	0	0	0	0	0
BHE90_000094	58.53793441621029	42.44000245175246	119.45936525815283	0	70.00412775546795	0	0	1127.3977596238171	0	0	0	0	0	0	0	0
BHE90_000097	58.53793441621029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000103	29.268967208105146	0	0	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_000106	0	0	0	0	0	0	563.6988798119086	0	0	0	0	0	0	0	0	0
BHE90_000109	58.53793441621029	0	0	39.943531719296416	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000112	0	42.44000245175246	238.91873051630566	99.85882929824105	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_000118	0	10.610000612938116	0	0	0	1697.6000980700978	0	1691.096639435726	0	644.22729121361	0	0	0	0	0	0
BHE90_000119	0	0	0	0	0	0	0	1127.3977596238171	0	644.22729121361	0	0	0	0	0	0
BHE90_000121	2341.5173766484118	2185.660126265252	3673.3754816881997	1318.1365467367818	1137.5670760263545	2546.400147105147	0	563.6988798119086	0	0	188.6222331188998	848.8000490350489	0	0	0	893.4737358263675
BHE90_000122	0	0	0	0	0	0	0	1127.3977596238171	0	0	0	0	0	0	0	0
BHE90_000123	0	0	0	0	0	0	0	2254.7955192476343	0	1288.45458242722	0	0	0	0	0	0
BHE90_000124	0	0	0	0	0	0	563.6988798119086	2818.494399059543	0	0	0	141.46667483917483	0	0	0	0
BHE90_000132	58.53793441621029	21.22000122587623	0	39.943531719296416	0	848.8000490350489	0	0	0	0	0	0	0	0	0	0
BHE90_000137	0	21.22000122587623	298.6484131453821	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_000138	0	0	59.729682629076414	0	0	0	0	1127.3977596238171	0	0	0	0	0	0	0	0
BHE90_000143	117.07586883242058	42.44000245175246	59.729682629076414	39.943531719296416	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_000144	0	21.22000122587623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000146	0	0	0	0	0	0	563.6988798119086	0	0	0	0	0	0	0	0	0
BHE90_000148	117.07586883242058	84.88000490350493	298.6484131453821	239.6611903157785	210.01238326640387	848.8000490350489	0	0	0	0	0	0	0	0	0	0
BHE90_000151	0	0	0	0	0	0	0	1127.3977596238171	0	0	0	0	0	0	0	0
BHE90_000152	0	0	59.729682629076414	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000153	0	0	149.32420657269105	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000165	175.6138032486309	21.22000122587623	179.18904788722924	0	105.00619163320194	0	0	563.6988798119086	0	0	0	0	0	0	0	0
BHE90_000166	0	0	0	0	0	0	563.6988798119086	0	0	0	0	0	0	0	0	0
BHE90_000170	0	0	89.59452394361462	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000171	321.9586392891566	456.230026356339	597.2968262907642	279.60472203507493	280.0165110218718	848.8000490350489	563.6988798119086	1691.096639435726	0	644.22729121361	0	282.93334967834966	0	0	0	1161.5158565742777
BHE90_000173	58.53793441621029	21.22000122587623	59.729682629076414	0	0	0	0	563.6988798119086	0	0	0	0	0	0	0	357.389494330547
BHE90_000174	0	63.6600036776287	0	0	0	0	0	0	0	0	0	0	0	0	0	178.6947471652735
BHE90_000175	58.53793441621029	0	0	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	357.389494330547
BHE90_000189	0	42.44000245175246	0	19.971765859648208	0	848.8000490350489	0	0	0	0	0	282.93334967834966	0	0	0	0
BHE90_000191	234.15173766484116	21.22000122587623	537.5671436616877	79.88706343859283	210.01238326640387	0	0	1691.096639435726	0	644.22729121361	0	0	0	0	0	0
BHE90_000193	234.15173766484116	106.10000612938116	149.32420657269105	79.88706343859283	140.0082555109359	0	0	0	0	644.22729121361	0	565.8666993566993	0	0	0	446.73686791318374
BHE90_000194	58.53793441621029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000196	0	0	0	0	0	0	0	0	0	0	0	0	1018.560058842059	0	0	0
BHE90_000197	0	21.22000122587623	89.59452394361462	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001336	0	0	0	39.943531719296416	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001337	58.53793441621029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001348	0	0	0	79.88706343859283	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001350	0	297.0800171622672	477.8374610326113	39.943531719296416	140.0082555109359	0	0	0	0	0	0	0	0	0	0	0
BHE90_001351	58.53793441621029	0	0	79.88706343859283	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001352	0	0	0	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_001357	0	0	0	119.83059515788925	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001363	0	0	0	0	0	0	0	0	0	0	188.6222331188998	0	0	0	0	0
BHE90_001364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.6947471652735
BHE90_001365	146.34483604052573	42.44000245175246	716.756191548917	79.88706343859283	70.00412775546795	0	0	0	0	0	0	0	0	0	0	0
BHE90_001368	175.6138032486309	63.6600036776287	29.864841314538207	519.2659123508533	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_001369	0	0	0	39.943531719296416	0	0	0	0	0	0	0	0	0	0	0	357.389494330547
BHE90_001374	117.07586883242058	21.22000122587623	0	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_001377	117.07586883242058	0	59.729682629076414	0	0	0	0	0	0	0	188.6222331188998	282.93334967834966	0	0	0	0
BHE90_001378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446.73686791318374
BHE90_001380	0	0	59.729682629076414	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001386	0	42.44000245175246	59.729682629076414	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_001387	117.07586883242058	42.44000245175246	59.729682629076414	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_001388	0	0	59.729682629076414	119.83059515788925	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001389	0	0	0	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_001391	0	0	0	39.943531719296416	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001398	0	21.22000122587623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001400	0	0	59.729682629076414	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001401	0	53.05000306469058	0	0	17.501031938866987	0	0	0	0	0	0	0	0	0	0	0
BHE90_001404	58.53793441621029	10.610000612938116	119.45936525815283	39.943531719296416	105.00619163320194	0	0	0	0	0	0	0	0	0	0	357.389494330547
BHE90_001406	58.53793441621029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001409	0	21.22000122587623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001413	0	0	0	79.88706343859283	0	0	0	0	0	0	0	0	0	0	0	89.34737358263675
BHE90_001415	58.53793441621029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001416	58.53793441621029	190.9800110328861	298.6484131453821	139.80236101753746	105.00619163320194	0	0	0	0	0	0	0	0	0	0	178.6947471652735
BHE90_001419	0	42.44000245175246	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001420	0	63.6600036776287	119.45936525815283	39.943531719296416	35.002063877733974	0	0	0	0	644.22729121361	0	0	0	0	0	0
BHE90_001422	58.53793441621029	42.44000245175246	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001425	58.53793441621029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.6947471652735
BHE90_001429	234.15173766484116	42.44000245175246	179.18904788722924	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001432	0	0	59.729682629076414	39.943531719296416	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001433	0	21.22000122587623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001436	0	63.6600036776287	0	39.943531719296416	105.00619163320194	0	0	0	0	0	0	0	0	0	0	0
BHE90_001438	0	0	59.729682629076414	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001439	0	0	0	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_001440	175.6138032486309	21.22000122587623	119.45936525815283	79.88706343859283	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001441	117.07586883242058	53.05000306469058	179.18904788722924	39.943531719296416	70.00412775546795	0	0	0	0	0	0	424.40002451752446	0	0	0	446.73686791318374
BHE90_001446	0	0	59.729682629076414	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001447	0	0	59.729682629076414	119.83059515788925	0	0	0	0	0	0	0	0	0	0	0	89.34737358263675
BHE90_001450	234.15173766484116	254.6400147105148	59.729682629076414	39.943531719296416	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001451	117.07586883242058	95.49000551644305	298.6484131453821	159.77412687718567	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_001452	0	42.44000245175246	358.3780957744585	0	70.00412775546795	0	0	0	0	0	0	0	0	0	0	0
BHE90_001453	117.07586883242058	0	59.729682629076414	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001455	585.3793441621029	732.09004229273	1134.863969952452	559.2094440701499	105.00619163320194	0	0	0	0	1288.45458242722	0	0	0	0	0	0
BHE90_001456	526.8414097458926	1029.1700594549975	836.2155568070698	838.8141661052248	420.02476653280775	1697.6000980700978	0	0	0	0	188.6222331188998	0	0	0	0	1518.905350904825
BHE90_001457	58.53793441621029	42.44000245175246	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001459	0	0	89.59452394361462	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001460	0	21.22000122587623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_001461	58.53793441621029	53.05000306469058	119.45936525815283	0	70.00412775546795	848.8000490350489	0	0	0	0	0	0	0	0	0	0
BHE90_001462	643.9172785783132	222.81001287170045	716.756191548917	159.77412687718567	210.01238326640387	0	0	563.6988798119086	0	0	0	0	0	0	0	0
BHE90_007191	0	74.2700042905668	119.45936525815283	0	70.00412775546795	0	0	0	0	0	0	0	0	0	0	178.6947471652735
BHE90_007192	117.07586883242058	339.5200196140197	298.6484131453821	219.6894244561303	385.0227026550738	0	0	0	0	0	0	0	0	0	0	178.6947471652735
BHE90_007193	29.268967208105146	74.2700042905668	149.32420657269105	0	35.002063877733974	424.40002451752446	0	0	0	0	0	0	0	0	0	0
BHE90_007195	58.53793441621029	63.6600036776287	0	0	35.002063877733974	0	0	563.6988798119086	0	0	0	0	0	0	0	268.04212074791025
BHE90_007196	234.15173766484116	84.88000490350493	59.729682629076414	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_007197	234.15173766484116	148.5400085811336	89.59452394361462	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_007198	117.07586883242058	74.2700042905668	0	0	70.00412775546795	0	0	0	0	0	0	0	0	0	0	0
BHE90_007202	0	0	59.729682629076414	0	0	848.8000490350489	0	0	0	0	0	0	0	0	0	0
BHE90_007206	58.53793441621029	63.6600036776287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_007208	58.53793441621029	0	59.729682629076414	0	105.00619163320194	0	0	0	0	0	0	0	0	0	0	0
BHE90_007209	1141.4897211161008	137.93000796819553	268.78357183084387	359.49178547366773	315.0185748996058	848.8000490350489	0	563.6988798119086	0	0	188.6222331188998	0	0	0	0	357.389494330547
BHE90_007210	0	21.22000122587623	0	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_007213	0	0	29.864841314538207	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_007214	0	21.22000122587623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_007216	0	21.22000122587623	0	0	0	0	0	281.8494399059543	0	0	0	0	0	0	0	0
BHE90_007224	0	21.22000122587623	0	39.943531719296416	0	848.8000490350489	281.8494399059543	0	0	0	0	0	0	0	0	0
BHE90_007226	0	63.6600036776287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_007228	1082.9517866998906	1050.3900606808736	1373.7827004687574	399.4353171929642	367.5216707162068	848.8000490350489	0	1127.3977596238171	0	0	0	0	0	0	0	178.6947471652735
BHE90_007229	292.68967208105147	106.10000612938116	358.3780957744585	0	70.00412775546795	0	0	0	0	0	0	0	0	0	0	0
BHE90_007231	0	21.22000122587623	0	39.943531719296416	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_007232	117.07586883242058	0	0	39.943531719296416	0	0	0	0	0	322.113645606805	0	0	0	0	0	0
BHE90_007233	0	63.6600036776287	0	39.943531719296416	210.01238326640387	0	0	0	0	0	0	0	0	0	0	714.778988661094
BHE90_017374	263.4207048729463	169.76000980700985	358.3780957744585	0	140.0082555109359	0	0	0	0	0	0	0	0	0	0	0
BHE90_007234	117.07586883242058	84.88000490350493	0	0	35.002063877733974	0	0	0	0	0	0	282.93334967834966	0	0	0	0
BHE90_007236	58.53793441621029	180.370010419948	268.78357183084387	399.4353171929642	122.50722357206892	848.8000490350489	0	0	0	0	0	0	0	0	0	357.389494330547
BHE90_007237	292.68967208105147	392.5700226787103	477.8374610326113	39.943531719296416	192.5113513275369	0	1691.096639435726	0	0	0	660.1778159161494	0	0	0	0	0
BHE90_007238	117.07586883242058	254.6400147105148	507.70230234714955	59.915297578944624	210.01238326640387	0	0	0	0	0	94.3111165594499	0	0	0	0	178.6947471652735
BHE90_007239	965.8759178674699	742.7000429056682	1343.9178591542193	299.57648789472313	280.0165110218718	848.8000490350489	0	563.6988798119086	0	0	94.3111165594499	848.8000490350489	0	0	0	893.4737358263675
BHE90_007240	292.68967208105147	286.47001654932916	298.6484131453821	79.88706343859283	105.00619163320194	0	0	0	0	0	0	0	0	0	0	178.6947471652735
BHE90_007241	175.6138032486309	137.93000796819553	0	0	210.01238326640387	0	0	0	0	0	0	0	0	0	0	178.6947471652735
BHE90_007242	234.15173766484116	689.6500398409776	1403.6475417832958	239.6611903157785	262.51547908300483	1273.2000735525735	845.548319717863	563.6988798119086	0	0	188.6222331188998	0	0	0	0	1250.8632301569144
BHE90_007243	468.3034753296823	1167.1000674231927	2180.1334159612893	499.2941464912052	245.01444714413785	848.8000490350489	0	0	0	644.22729121361	377.2444662377996	565.8666993566993	0	0	0	1965.6422188180086
BHE90_007244	175.6138032486309	95.49000551644305	388.2429370889967	39.943531719296416	105.00619163320194	0	0	563.6988798119086	0	0	188.6222331188998	0	0	0	0	536.0842414958205
BHE90_007245	585.3793441621029	647.2100373892251	597.2968262907642	279.60472203507493	490.0288942882757	0	0	1127.3977596238171	0	0	0	0	0	0	0	178.6947471652735
BHE90_007246	117.07586883242058	21.22000122587623	0	0	0	0	0	0	0	0	0	0	0	0	0	357.389494330547
BHE90_007247	58.53793441621029	116.71000674231928	59.729682629076414	0	70.00412775546795	0	0	0	0	0	0	0	0	0	0	178.6947471652735
BHE90_007248	351.2276064972618	392.5700226787103	238.91873051630566	79.88706343859283	157.5092874498029	0	0	563.6988798119086	0	0	0	0	0	0	0	446.73686791318374
BHE90_007249	497.5724425377875	127.3200073552574	119.45936525815283	199.7176585964821	105.00619163320194	0	0	0	0	0	0	0	0	0	0	357.389494330547
BHE90_007250	0	21.22000122587623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_007251	292.68967208105147	413.7900239045865	328.51325445992023	319.54825375437133	210.01238326640387	0	0	0	0	644.22729121361	0	0	0	0	0	625.4316150784572
BHE90_007252	234.15173766484116	116.71000674231928	119.45936525815283	39.943531719296416	0	0	0	0	0	0	0	0	0	0	0	89.34737358263675
BHE90_007253	0	84.88000490350493	0	119.83059515788925	35.002063877733974	0	0	0	0	0	0	0	0	0	0	178.6947471652735
BHE90_007254	117.07586883242058	169.76000980700985	59.729682629076414	79.88706343859283	210.01238326640387	0	0	0	0	0	0	0	0	0	0	0
BHE90_007255	175.6138032486309	212.2000122587623	238.91873051630566	119.83059515788925	175.01031938866987	848.8000490350489	0	0	0	0	0	282.93334967834966	0	0	0	0
BHE90_007256	175.6138032486309	190.9800110328861	388.2429370889967	0	227.51341520527086	848.8000490350489	0	0	0	0	0	0	0	0	0	0
BHE90_007257	321.9586392891566	63.6600036776287	59.729682629076414	19.971765859648208	105.00619163320194	0	0	0	0	0	0	0	0	0	0	0
BHE90_007258	0	127.3200073552574	209.05388920176745	39.943531719296416	105.00619163320194	0	0	0	0	0	0	282.93334967834966	0	0	0	0
BHE90_007259	702.4552129945235	466.8400269692771	836.2155568070698	179.74589273683387	910.0536608210834	0	0	563.6988798119086	0	0	0	0	0	0	0	0
BHE90_007260	234.15173766484116	84.88000490350493	238.91873051630566	199.7176585964821	70.00412775546795	0	0	0	0	0	0	0	0	0	0	0
BHE90_007261	58.53793441621029	21.22000122587623	0	39.943531719296416	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_007262	204.88277045673604	180.370010419948	209.05388920176745	119.83059515788925	157.5092874498029	0	0	281.8494399059543	0	0	282.9333496783497	0	0	0	0	357.389494330547
BHE90_007263	58.53793441621029	63.6600036776287	89.59452394361462	79.88706343859283	52.50309581660097	0	0	0	0	0	0	0	679.0400392280393	0	0	0
BHE90_007264	292.68967208105147	286.47001654932916	477.8374610326113	119.83059515788925	262.51547908300483	0	0	0	0	0	0	282.93334967834966	0	0	0	178.6947471652735
BHE90_007265	58.53793441621029	53.05000306469058	59.729682629076414	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_007266	3014.7036224348303	2206.8801274911284	4091.4832600917343	1398.0236101753746	2082.6228007251716	1697.6000980700978	0	2254.7955192476343	0	644.22729121361	0	565.8666993566993	0	0	0	1340.2106037395513
BHE90_007267	351.2276064972618	275.86001593639105	149.32420657269105	239.6611903157785	332.5196068384728	0	0	0	0	0	0	282.93334967834966	0	0	0	357.389494330547
BHE90_007268	263.4207048729463	339.5200196140197	298.6484131453821	0	70.00412775546795	0	0	0	311.0062785169151	0	0	0	0	0	0	178.6947471652735
BHE90_007269	263.4207048729463	137.93000796819553	59.729682629076414	0	105.00619163320194	0	0	0	0	0	0	0	0	0	0	0
BHE90_007270	175.6138032486309	339.5200196140197	358.3780957744585	159.77412687718567	192.5113513275369	0	0	0	0	0	188.6222331188998	0	0	0	0	714.778988661094
BHE90_007271	0	0	0	39.943531719296416	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_007272	409.7655409134721	297.0800171622672	597.2968262907642	99.85882929824105	105.00619163320194	1697.6000980700978	0	0	0	0	0	848.8000490350489	0	0	0	536.0842414958205
BHE90_007273	117.07586883242058	318.3000183881435	477.8374610326113	299.57648789472313	245.01444714413785	424.40002451752446	0	0	0	0	0	0	0	0	0	0
BHE90_007274	2107.3656389835705	3129.9501808167443	3344.862227228279	1597.7412687718568	1855.1093855199008	848.8000490350489	0	0	0	644.22729121361	0	0	0	0	0	1429.557977322188
BHE90_017393	0	21.22000122587623	59.729682629076414	0	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_017397	0	0	0	0	105.00619163320194	0	0	0	0	0	0	0	0	0	0	0
BHE90_017398	117.07586883242058	21.22000122587623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_007275	292.68967208105147	148.5400085811336	298.6484131453821	0	70.00412775546795	0	0	0	0	0	0	0	0	0	0	0
BHE90_007276	175.6138032486309	212.2000122587623	418.1077784035349	79.88706343859283	140.0082555109359	848.8000490350489	0	0	0	0	0	0	0	0	0	536.0842414958205
BHE90_007277	0	116.71000674231928	238.91873051630566	39.943531719296416	0	2546.400147105147	0	0	0	0	0	0	0	0	0	0
BHE90_007278	760.9931474107339	1007.950058229121	1104.9991286379136	519.2659123508533	805.0474691878815	848.8000490350489	0	0	0	0	0	282.93334967834966	1358.0800784560786	0	0	982.8211094090043
BHE90_007279	146.34483604052573	318.3000183881435	507.70230234714955	79.88706343859283	122.50722357206892	0	0	0	0	0	0	0	0	0	0	536.0842414958205
BHE90_007280	117.07586883242058	180.370010419948	477.8374610326113	79.88706343859283	17.501031938866987	0	563.6988798119086	0	0	0	0	0	0	0	0	268.04212074791025
BHE90_007281	58.53793441621029	21.22000122587623	59.729682629076414	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_007282	58.53793441621029	106.10000612938116	59.729682629076414	19.971765859648208	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_007283	58.53793441621029	106.10000612938116	119.45936525815283	239.6611903157785	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_007284	234.15173766484116	169.76000980700985	179.18904788722924	39.943531719296416	105.00619163320194	0	0	0	0	0	0	0	0	0	0	0
BHE90_007285	58.53793441621029	137.93000796819553	298.6484131453821	0	175.01031938866987	0	0	0	0	0	0	0	0	0	0	0
BHE90_007286	526.8414097458926	403.18002329164847	537.5671436616877	99.85882929824105	262.51547908300483	0	563.6988798119086	0	0	644.22729121361	0	282.93334967834966	0	0	0	536.0842414958205
BHE90_007287	175.6138032486309	106.10000612938116	59.729682629076414	0	0	0	0	563.6988798119086	0	1288.45458242722	188.6222331188998	141.46667483917483	0	0	0	0
BHE90_007288	0	0	59.729682629076414	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_007290	0	21.22000122587623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_007292	175.6138032486309	31.83000183881435	119.45936525815283	199.7176585964821	105.00619163320194	0	0	0	0	0	0	0	0	0	0	0
BHE90_007294	58.53793441621029	84.88000490350493	59.729682629076414	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_007297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.6947471652735
BHE90_007300	234.15173766484116	159.15000919407174	328.51325445992023	0	105.00619163320194	0	563.6988798119086	0	0	0	0	848.8000490350489	0	0	0	268.04212074791025
BHE90_007301	58.53793441621029	21.22000122587623	0	39.943531719296416	35.002063877733974	0	0	0	0	0	0	0	0	0	0	0
BHE90_007302	234.15173766484116	148.5400085811336	328.51325445992023	99.85882929824105	227.51341520527086	848.8000490350489	0	0	0	0	0	0	0	0	0	89.34737358263675
BHE90_007303	0	42.44000245175246	0	39.943531719296416	0	0	0	0	0	0	188.6222331188998	0	0	0	0	0
BHE90_007304	0	21.22000122587623	298.6484131453821	0	0	0	0	281.8494399059543	0	0	0	0	0	0	0	0
BHE90_007305	117.07586883242058	84.88000490350493	268.78357183084387	39.943531719296416	35.002063877733974	848.8000490350489	0	0	0	0	0	0	0	0	0	178.6947471652735
BHE90_007306	87.80690162431544	148.5400085811336	179.18904788722924	119.83059515788925	17.501031938866987	0	0	281.8494399059543	0	0	0	0	0	0	0	0
BHE90_007307	0	0	119.45936525815283	79.88706343859283	35.002063877733974	0	0	0	0	0	188.6222331188998	0	0	0	0	0
